,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
3368,DEVON JOY (K237) (Retired),GB,,Bay , Gelding,ISG,115000,0,0,2,13,Pivotal,Kirov,Darshaan
3369,OTTIMO (K238) (Retired),NZ,,Bay , Gelding,ISG,3849500,6,3,3,43,Cape Cross,Foxette,Entrepreneur
3370,ALGARVE (K239) (Retired),AUS,,Bay , Gelding,ISG,2297375,4,0,1,12,Encosta de Lago,Onassis,Lion Cavern
3371,TRAVEL KING (K240) (Retired),NZ,,Brown , Gelding,ISG,1150088,1,1,2,30,O'Reilly,Cappie,Kaapstad
3372,DASHING VICTORY (K241) (Deregistered),AUS,,Bay , Colt,ISG,1102500,1,2,0,7,Redoute's Choice,Marshow,Marscay
3373,NEW LEADER (K242) (Retired),NZ,,Bay , Gelding,ISG,1628575,2,2,3,27,Keeper,The Nightingale,Stravinsky
3374,BRIGHT TOUCH (K243) (Retired),AUS,,Bay , Gelding,ISG,26250,0,0,0,6,Flying Spur,Paris Nights,Le Grand Seigneur
3375,SUPER PEPPER (K244) (Retired),USA,,Bay ,,ISG,1482250,3,2,2,29,Grand Slam,Wealthy,Regal Classic
3376,REDOUTE STAR (K245) (Retired),AUS,,Bay ,,ISG,1843775,4,1,3,32,Redoute's Choice,Significant Moment,Bletchingly
3377,JINJJA BEAR (K246) (Retired),IRE,,Chestnut , Gelding,ISG,0,0,0,0,0,Exceed And Excel,Royal Fizz,Royal Academy
3378,MARK UP (K247) (Deregistered),NZ,,Brown , Gelding,ISG,4309875,6,4,3,34,Ishiguru,Wauwinet,Bassenthwaite
3379,PENGLAI XIANZI (K248) (Retired),AUS,,Bay , Gelding,ISG,8880475,9,5,4,77,Encosta de Lago,Isle Of Gibraltar,Danehill
3380,STILLYOUTURNMEON (K249) (Retired),GB,,Chestnut , Gelding,ISG,0,0,0,0,5,Bertolini,Hiwaayati,Shadeed
3381,SYNERGY (K250) (Retired),NZ,,Chestnut , Gelding,ISG,0,0,0,0,0,Faltaat,Ally McBeal,Manntari
3382,KARBRIDGE (K251) (Retired),AUS,,Grey , Gelding,PP,864000,2,0,0,22,El Moxie,Monkey Business,Key Business
3383,PRETTY TOUCH (K252) (Retired),NZ,,Bay , Gelding,PP,216750,0,1,0,7,Elusive City,Giuliana,Zabeel
3384,INVINCIBLEKINDNESS (K253) (Retired),AUS,,Bay , Gelding,PP,1304750,1,2,2,23,Invincible Spirit,Lady Cairns,Last Tycoon
3385,ENRICHED (K254) (Retired),AUS,,Bay , Gelding,PP,2291250,3,2,0,14,Noverre,Meringo Mull,Mr Henrysee
3386,BOOK OF KELLS (K255) (Retired),AUS,,Brown , Gelding,PP,0,0,0,0,3,Rock Of Gibraltar,Episode,Scenic
3387,DARPANA (K256) (Retired),AUS,,Chestnut , Gelding,PP,2780800,4,5,2,57,Royal Academy,Going Raja,Well Decorated
3388,WEALTHY BOSS (K257) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Catbird,L'Ombry,Hula Town
3389,WING MASTER (K258) (Retired),AUS,,Chestnut , Gelding,PPG,118825,0,0,1,13,Danehill Dancer,Marlboro Hill,Barathea
3390,SOUNDS EXCELLENT (K259) (Retired),AUS,,Bay , Gelding,PPG,1428375,1,3,5,18,Fastnet Rock,Madame Plume,Military Plume
3391,ALWAYS ON TOP (K260) (Retired),NZ,,Chestnut , Gelding,PPG,0,0,0,0,5,Ishiguru,Britney's Way,Star Way
3392,ROCK'N TYPHOON (K261) (Retired),USA,,Bay ,,PP,824450,1,2,1,25,Grand Slam,Wonder Woman,Storm Cat
3393,WAVE ASIDE (K262) (Retired),GB,,Bay , Gelding,PP,0,0,0,0,0,Reset,Crinkle,Distant Relative
3394,CLOSERTOBELIEVING (K263) (Retired),GB,,Bay , Rig,PP,0,0,0,0,11,Xaar,Glorious,Nashwan
3395,PACKING BUDDY (K264) (Retired),IRE,,Brown , Gelding,PP,752250,1,1,0,14,Bachelor Duke,Kimola,King's Theatre
3396,ACE OF SPADES (K265) (Retired),SAF,,Bay , Colt,PP,21875,0,0,0,9,Windrush,Code Eleven,Cryptoclearance
3397,FLYING CHINA (K266) (Retired),AUS,,Chestnut , Gelding,PP,3732750,4,6,4,53,French Deputy,Springtime Sunray,Gulch
3398,CLASSA (K267) (Retired),AUS,,Bay , Gelding,PP,1423845,2,1,5,49,Invincible Spirit,Game Lady,Lord Seymour
3399,GRAND DANCER (K268) (Retired),NZ,,Bay , Gelding,PP,1739250,2,2,2,35,No Excuse Needed,Clermont Rose,Sound Reason
3400,SUPER FORTUNE (K269) (Retired),AUS,,Chestnut , Gelding,PP,365500,1,0,0,6,Show A Heart,Dollimoss,Mossman
3401,KA KA'S PROSPERITY (K270) (Retired),NZ,,Grey , Gelding,PP,288000,0,1,2,11,Spectatorial,Miss Jessie Jay,Spectacularphantom
3402,MR BLACKBERRY (K271) (Retired),AUS,,Brown , Gelding,PP,0,0,0,0,4,Tale Of The Cat,Dawn Till Dusk,Manntari
3403,WADASURPRISE (K272) (Retired),NZ,,Bay , Gelding,PPG,1226125,3,2,2,31,Brilliance,Don Insight,Steinlen
3404,LUCKY PHOTO FRAME (K273) (Deregistered),AUS,,Bay , Gelding,PPG,494275,1,0,1,12,Canny Lad,Lady Elaine,Grosvenor
3405,PAPAS (K274) (Retired),NZ,,Chestnut , Gelding,PPG,1128125,2,1,3,27,Captain Rio,Gold Amber,Gold Brose
3406,HO WONGCHOY (K275) (Retired),NZ,,Bay , Gelding,PPG,3756613,5,6,7,60,Cullen,Au Revoir,Morcon
3407,SUCCESSFUL ERA (K276) (Retired),NZ,,Bay , Gelding,PPG,855900,2,0,1,31,Elusive City,Street Star,Jetball
3408,BRAVE HEART (K277) (Retired),AUS,,Bay , Gelding,PPG,1264500,2,3,0,12,Elvstroem,La Camille,Peintre Celebre
3409,SHOWTIME (K278) (Retired),NZ,,Chestnut , Gelding,PPG,1509500,3,0,3,24,Faltaat,Delgatie Queen,Spectacular Love
3410,GOOD FORTUNE (K279) (Retired),NZ,,Bay , Gelding,PPG,267000,0,1,1,19,Jungle Pocket,Cutie Lisa,Northern Taste
3411,TRANSCENDENCE (K280) (Retired),NZ,,Brown , Gelding,PPG,63575,0,0,0,15,Justice Prevails,Abbey St Clair,Westminster
3412,THISTLE SPIRIT (K281) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,8,Pentire,Grace The Bride,Personal Escort
3413,EJIMERIC TE SPECSO (K282) (Retired),NZ,,Bay , Gelding,PPG,378650,1,0,0,9,Pins,Huntley Lass,Defensive Play
3414,EAST RIDER (K283) (Retired),NZ,,Chestnut , Gelding,PPG,21875,0,0,0,12,Van Nistelrooy,Astralita,Kenny's Best Pal
3415,JOYFUL JOYFUL (K284) (Retired),AUS,,Brown , Gelding,PP,803625,1,1,2,35,Hawk Wing,Southern Quest,Rainbow Quest
3416,LUCKY PRINCE (K285) (Retired),AUS,,Bay , Gelding,PP,255000,0,0,2,12,Lucky Owners,Double Gay,Rory's Jester
3417,HO HAPPY (K286) (Retired),AUS,,Bay , Gelding,PP,660375,1,1,1,19,Rubiton,Ticket To Rome,At Talaq
3418,CAGA SPIRIT (K287) (Retired),AUS,,Chestnut , Gelding,PP,2042163,4,1,3,38,Sedaka,Belle Atalante,Noalcoholic
3419,ALWAYS SOMETHING (K288) (Retired),NZ,,Brown , Gelding,PPG,5854550,5,10,11,77,Black Minnaloushe,Mi Gazelle,Mi Preferido
3420,CHEVALIER KING (K289) (Retired),AUS,,Bay , Gelding,PPG,2912125,4,4,1,17,Cape Cross,Verneau,Lion Cavern
3421,ORIENTAL COURSER (K290) (Deregistered),AUS,,Brown , Horse,PPG,1566875,3,2,3,17,Danehill Dancer,Topatoon,Top Post
3422,UNITED (K291) (Retired),AUS,,Brown , Gelding,PPG,766325,0,4,2,13,Danzero,Matriculate,Honor Grades
3423,AMEDEO (K292) (Retired),AUS,,Chestnut , Gelding,PPG,3143000,5,2,3,32,Elusive Quality,Trouble Woman,Dayjur
3424,DESCARTES (K293) (Retired),AUS,,Brown , Gelding,PPG,201875,0,0,2,21,Hayil,Love Call,Celestial Dancer
3425,SHARP BOY (K294) (Retired),AUS,,Bay , Gelding,PPG,57500,0,0,1,11,Honours List,St Martha,Bigstone
3426,THINK BIG (K295) (Retired),AUS,,Bay , Gelding,PPG,857625,2,0,3,31,Lucky Owners,Chinese Whispers,Woodman
3427,HAPPY CHA CHA (K296) (Retired),AUS,,Chestnut , Gelding,PPG,3324925,7,1,3,43,More Than Ready,Short 'N' Sweep,End Sweep
3428,REDOUTE'S FORTUNE (K297) (Retired),AUS,,Bay , Gelding,PPG,1390250,2,2,3,35,Redoute's Choice,Quibble,Zabeel
3429,LEADING CITY (K298) (Retired),AUS,,Bay , Gelding,PPG,6948500,6,6,2,42,Shamardal,Salty Sal,Salt Lake
3430,WESTERN STAR (K299) (Retired),IRE,,Bay , Gelding,PP,235650,0,1,0,24,Captain Rio,Dry Lightning,Shareef Dancer
3431,RAINBOW SEEKER (K300) (Retired),GB,,Bay , Gelding,PP,2104075,3,3,3,56,Dubai Destination,Zephirine Drouhin,Desert Style
3432,OLE OLE (K301) (Retired),IRE,,Bay , Gelding,PP,4021825,5,2,4,62,Traditionally,Wish List,Mujadil
3433,GRANDWAY FLYER (K302) (Retired),GB,,Chestnut , Gelding,PP,720325,1,2,2,32,Haafhd,Just Dreams,Salse
3434,VILASOL (K303) (Retired),IRE,,Grey , Gelding,PP,1420500,2,2,1,42,Verglas,Pitrizza,Machiavellian
3435,NEW GLORY (K304) (Retired),AUS,,Chestnut , Gelding,PP,4275250,5,3,3,58,Giant's Causeway,Raining,Hurricane Sky
3436,SPINNAKER (K305) (Retired),AUS,,Bay , Gelding,PPG,1107750,2,0,3,18,Stravinsky,Arletty,Centaine
3437,GLORIOUS GIANT (K306) (Retired),AUS,,Bay , Gelding,PPG,153650,0,0,1,9,Xaar,Elegy,Diesis
3438,TURF MAGIC (K307) (Retired),GB,,Chestnut , Gelding,PP,3821250,4,4,4,48,Compton Place,Miss Rimex,Ezzoud
3439,PACKING POWER (K308) (Retired),IRE,,Bay , Gelding,PP,803250,1,1,0,8,One Cool Cat,Catch The Moon,Peintre Celebre
3440,POLYGOLD (K309) (Deregistered),IRE,,Bay , Gelding,PP,950325,2,0,3,44,Rock Of Gibraltar,Raghida,Nordico
3441,DA JUDGE (K310) (Retired),SAF,,Bay , Gelding,PP,0,0,0,0,4,Jallad,National Fate,National Assembly
3442,DIAMOND KNIGHT (K311) (Retired),NZ,,Bay , Gelding,PP,2708750,2,4,5,59,Al Akbar,Diamond Show,Bigstone
3443,OUTTALIMITZ (K312) (Retired),NZ,,Grey , Gelding,PP,0,0,0,0,17,Danroad,Peripherique,Kendor
3444,GO FAY FAY (K313) (Retired),NZ,,Brown , Gelding,PP,927250,1,2,2,23,Elusive City,Double Okay,Towkay
3445,BEAUTY FLASH (K314) (Retired),NZ,,Chestnut , Gelding,PP,30792000,9,2,5,41,Golan,Wychwood Rose,Volksraad
3446,FORTUNE WINNER (K315) (Retired),NZ,,Bay , Gelding,PP,2950750,5,1,2,40,Keeper,Way Leggo,Kaapstad
3447,NEW KING PRAWN (K316) (Retired),NZ,,Bay , Gelding,PP,521350,0,1,3,17,Storm Creek,Tafelberg,Kaapstad
3448,ROYAL WARRIOR (K317) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,7,His Royal Highness,Burnish,Touching Wood
3449,VIVA GUY (K318) (Retired),NZ,,Bay , Gelding,PPG,3884750,6,4,8,92,Ishiguru,South Pacific,Stark South
3450,PLENTIFUL (K319) (Retired),AUS,,Chestnut , Gelding,PPG,4259000,4,7,5,45,Mossman,Dapper's Pride,Scenic
3451,WIND DAMPER (K320) (Retired),NZ,,Bay , Gelding,PPG,1597850,2,3,4,21,Stravinsky,New Brew,Geiger Counter
3452,PROSPERITY KID (K321) (Retired),AUS,,Bay , Gelding,SG,0,0,0,0,12,Tiger Hill,Emerald Beauty,Peintre Celebre
3453,PUBLIC FIGURE (K322) (Retired),NZ,,Chestnut , Gelding,SG,2476925,4,3,3,45,Bertolini,Goodness Me,Kings Island
3454,PERFECT FIT (K323) (Retired),AUS,,Bay ,,SG,2639500,4,2,5,45,Danzero,Steal My Love,Marauding
3455,HUA SHI (K324) (Retired),AUS,,Chestnut , Gelding,SG,159000,0,1,0,21,Beautiful Crown,Safe Hit,Straight Strike
3456,SURE FORWARD (K325) (Retired),NZ,,Bay , Gelding,SG,820025,1,2,2,25,Anabaa,Truly Elegant,Scenic
3457,BEL CANTO (K326) (Retired),AUS,,Bay , Gelding,SG,16975,0,0,0,11,General Nediym,Cryptography,Bubble Gum Fellow
3458,GORGEOUS LIFE (K327) (Retired),NZ,,Bay , Gelding,SG,1562750,2,5,4,35,Towkay,Clermont Lass,Centaine
3459,SEXY BABY (K328) (Deregistered),NZ,,Bay , Gelding,SG,106700,0,1,0,13,Stravinsky,Sugar Moon,Zabeel
3460,MARS EXPRESS (K329) (Retired),AUS,,Bay , Gelding,SG,0,0,0,0,13,Johannesburg,Brave Reaction,Success Express
3461,BLADE FORCE (K330) (Retired),AUS,,Bay ,,SG,1175200,1,4,3,21,Danehill Dancer,Greased Lightning,Zabeel
3462,EAGLE STAR (K331) (Retired),AUS,,Bay , Gelding,SG,0,0,0,0,2,Rock Of Gibraltar,La Grange,Rory's Jester
3463,RED WARRIOR (K332) (Deregistered),NZ,,Bay , Gelding,SG,0,0,0,0,0,Dubai Destination,Singing Angel,Rahy
3464,GALLOPY (K333) (Retired),AUS,,Brown , Gelding,SG,57500,0,0,1,8,Rock Of Gibraltar,Gladden,Covetous
3465,CRISTAL MAGNUM (K334) (Deregistered),NZ,,Bay , Gelding,SG,1013650,2,1,0,15,Pins,Cenphic,Centaine
3466,FASCINATING SMILE (K335) (Deregistered),AUS,,Bay ,,SG,1240500,2,3,1,31,Danzero,Soiree Girl,Rory's Jester
3467,SLEEPCARE (K336) (Retired),AUS,,Bay , Gelding,SG,30000,0,0,0,9,General Nediym,Amoroso,Revoque
3468,GRASSLAND WARRIOR (K337) (Retired),AUS,,Chestnut , Gelding,SG,0,0,0,0,0,Choisir,Twilight Hour,Star Way
3469,INCREDIBLE EAGLE (K338) (Retired),NZ,,Bay , Gelding,SG,382500,0,2,2,16,Van Nistelrooy,Dubai Century,Military Plume
3470,FIERCE (K339) (Retired),AUS,,Bay , Gelding,SG,0,0,0,0,7,Rock Of Gibraltar,Bandwidth,Spectrum
3471,EAST OCEAN (K340) (Retired),NZ,,Bay , Gelding,SG,848825,1,1,3,30,Keeper,Meranti,Woodman
3472,INFALLIBLE CHOICE (K341) (Retired),AUS,,Bay , Gelding,SG,220000,0,2,0,15,Exceed And Excel,Phantom Affair,Caerleon
3473,TOP DRAGON (K342) (Retired),AUS,,Bay , Gelding,SG,1506450,2,3,2,28,Cape Cross,Smartchat,Kaapstad
3474,MARENGO (K343) (Retired),NZ,,Bay , Gelding,SG,0,0,0,0,1,Black Minnaloushe,Eastend,Bigstone
3475,EL MORRO (K344) (Retired),AUS,,Bay ,,PP,2726250,4,0,2,15,Brief Truce,Miduki,Snippets
3476,FAIR TRADE (K345) (Retired),AUS,,Bay , Gelding,PP,4527000,3,1,1,22,Danewin,Villa Igea,Papal Power
3477,SOLDIER (K346) (Retired),AUS,,Bay , Gelding,PP,3079625,4,8,2,56,Encosta de Lago,Party Dancer,Party Leader
3478,VAUGIRARD (K347) (Retired),AUS,,Bay , Gelding,PP,4268500,5,3,2,36,Hemingway,Basenji,Lion Hunter
3479,CARS KING PRAWN (K348) (Retired),AUS,,Bay , Gelding,PP,1235200,0,5,1,28,Royal Academy,Lady Circles,Ascot Knight
3480,SUPREME DE UNION (K349) (Deregistered),AUS,,Brown , Gelding,PP,656725,0,3,1,14,Sequalo,Vania,Fasliyev
3481,YOU GOTTA PAY (K350) (Retired),AUS,,Chestnut , Gelding,PPG,2787500,4,4,0,10,Bianconi,Food Of Love,Lunchtime
3482,MUSTANG (K351) (Retired),AUS,,Chestnut , Gelding,PPG,802350,1,3,1,26,Choisir,Maid Of Pines,Charnwood Forest
3483,MORNING GREEN (K352) (Retired),AUS,,Bay , Gelding,PPG,378125,1,0,0,5,Encosta de Lago,Tremone Bay,Last Tycoon
3484,LUCKY AMORE (K353) (Retired),AUS,,Bay , Gelding,PPG,1120125,2,1,2,9,Lucky Owners,Ion You,Geiger Counter
3485,PAPER WINS (K354) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,9,Timber Trader,Elegant Flight,Alquoz
3486,MY BOY (K355) (Retired),AUS,,Brown , Gelding,PPG,0,0,0,0,3,Timber Trader,Volksven,Volksraad
3487,DOWN THE ROAD (K356) (Retired),NZ,,Brown , Gelding,PP,0,0,0,0,0,Danroad,Dixies Girl,Stark South
3488,ARROGANT DRAGON (K357) (Deregistered),AUS,,Bay ,,PP,0,0,0,0,1,Easy Rocking,Triplina,Kreisler
3489,AMIGO (K358) (Deregistered),AUS,,Bay , Gelding,PP,5584375,4,4,5,44,Giant's Causeway,Lucrative Dame,Zeditave
3490,GREAT RENOWN (K359) (Retired),NZ,,Brown , Gelding,PP,2699000,4,4,3,41,Towkay,Cantante,Centaine
3491,GOOD SMILE (K360) (Retired),NZ,,Brown , Gelding,PP,1834075,3,2,5,56,Zorro's Lad,Malvern Lass,Kreisler
3492,A WALK IN THE PARK (K361) (Retired),NZ,,Bay , Gelding,PPG,1265750,2,1,4,7,Faltaat,Awave,Crested Wave
3493,NATIONAL TREASURE (K362) (Retired),NZ,,Bay , Gelding,PPG,3967625,6,1,5,14,Pins,Trigon Lass,Centaine
3494,DADA (K363) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Rock Of Gibraltar,Mazarine,Zabeel
3495,SPECTACULAR AWARD (K364) (Retired),NZ,,Bay , Gelding,PPG,2071250,4,1,2,50,Shinko King,Trudelite,Mellifont
3496,SUPER GENTLEMAN (K365) (Retired),AUS,,Bay , Gelding,PPG,1410375,1,5,3,33,Untouchable,Choke,Opera Prince
3497,POLYMER BLOOM (K366) (Deregistered),NZ,,Brown , Gelding,PPG,37500,0,0,0,2,Volksraad,Gone,Grosvenor
3498,UPGRADING (K367) (Deregistered),IRE,,Bay , Gelding,PP,1723875,2,1,3,28,Daggers Drawn,Blusienka,Blues Traveller
3499,SMART CHOICE (K368) (Retired),USA,,Bay , Gelding,PP,1474700,2,3,1,24,Proud Citizen,Windborne,Forest Wildcat
3500,SUPER CARDED (K369) (Retired),AUS,,Bay , Gelding,PP,612000,1,0,1,14,Encosta de Lago,Camargue,Air de France
3501,MAELSTROM (K370) (Retired),AUS,,Chestnut , Gelding,PP,1980100,2,2,7,37,French Deputy,Come Up Smiling,Gone West
3502,ALWAYS AHEAD (K371) (Retired),AUS,,Brown , Gelding,PPG,0,0,0,0,8,Redding,Barbara Ann,Anabaa
3503,MANDARIN (K372) (Retired),AUS,,Bay , Gelding,PPG,1606500,3,1,2,12,Testa Rossa,Crown Quest,Rory's Jester
3504,VITAL FLYER (K373) (Retired),AUS,,Chestnut , Gelding,PP,6822750,4,2,7,48,Magic Albert,Elishir,Spectacular Spy
3505,ALBATROSS (K374) (Deregistered),NZ,,Chestnut , Colt,PP,0,0,0,0,0,Thorn Park,Quack,Magic Ring
3506,HERO AND GOLD (K375) (Retired),AUS,,Grey , Gelding,PP,31500,0,0,0,13,Verglas,Tudor Lassie,Star Way
3507,BET ON ME (K376) (Retired),AUS,,Bay , Gelding,PPG,2385525,3,3,4,46,Danehill Dancer,Storming Bai,Geiger Counter
3508,COMPACT YARN (K377) (Retired),AUS,,Bay , Gelding,PPG,2600850,2,11,0,42,Elvstroem,Forest Song,Woodman
3509,RED LOTUS (K378) (Retired),AUS,,Brown , Gelding,PPG,0,0,0,0,6,Rock Of Gibraltar,Shop Girl,Summer Squall
3510,YAMALAK (K379) (Retired),AUS,,Bay , Gelding,ISG,0,0,0,0,0,Encosta de Lago,Danzanta,King Of Kings
3511,MORE THAN YOU WISH (K380) (Retired),AUS,,Bay , Gelding,SG,147500,0,1,0,14,More Than Ready,Roswell,Jetball
3512,KING AL AKBAR (K381) (Retired),NZ,,Bay , Gelding,PP,3112250,5,2,2,30,Al Akbar,Grande,Senor Pete
3513,BIG CHIEF (K382) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,10,Gold Mine,Graphite,Bigstone
3514,SAMMY'S FALCON (K383) (Retired),NZ,,Chestnut , Gelding,PP,2086863,3,4,3,52,Ishiguru,Electric Blue,Deputy Governor
3515,PACKING COMMANDER (K384) (Retired),NZ,,Brown , Gelding,PP,0,0,0,0,1,No Excuse Needed,Cymbidium,Centaine
3516,HEADSIWIN (K385) (Retired),NZ,,Bay , Gelding,PP,120700,0,0,0,16,O'Reilly,Heads Or Tales,Tale Of The Cat
3517,TELECOM SUPER STAR (K386) (Retired),AUS,,Brown , Gelding,PP,415625,1,0,0,23,Quest For Fame,Guide,Grand Lodge
3518,MASTER KEY (K387) (Retired),NZ,,Bay , Gelding,PP,1239800,1,2,3,32,Storm Creek,Di Talento,Truly Vain
3519,GOOD BOY BOY (K388) (Retired),NZ,,Chestnut , Gelding,PPG,4112550,6,2,2,27,Align,Puss In Cahoots,Kashani
3520,NICKU (K389) (Retired),NZ,,Bay , Gelding,PPG,1517450,4,1,0,40,Colombia,Florence Maria,Truly Vain
3521,RACING LEGEND (K390) (Retired),NZ,,Chestnut , Gelding,PPG,1186725,1,5,2,24,Danroad,Prospective Belle,Beau Genius
3522,BRAVE KID (K391) (Retired),AUS,,Bay , Gelding,PPG,5307250,6,0,1,21,Elusive City,Gordon's,Kaapstad
3523,K392 (K392) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,0,Elusive City,Satin Pillows,Dumaani
3524,JUMBO GOLD (K393) (Retired),AUS,,Bay , Gelding,PPG,3589500,6,4,0,34,Flying Spur,Spring Beauty,Bletchingly
3525,GOLD JOINT (K394) (Retired),NZ,,Bay , Gelding,PPG,220000,0,2,0,16,Gold Mine,Champagne Bubble,Desert Sun
3526,BUMPER STRIKE (K395) (Retired),NZ,,Bay , Gelding,PPG,1080700,1,3,3,22,Howbaddouwantit,Leebazane,Zabeel
3527,CHEERFUL DOUBLE (K396) (Retired),NZ,,Brown , Gelding,PPG,1456950,3,1,4,31,Keeper,Impassion,Sir Tristram
3528,HOW WONDERFUL (K397) (Retired),NZ,,Bay , Gelding,PPG,1712450,3,2,3,31,Keeper,Starzeel,Zabeel
3529,THE UNTOUCHABLELAD (K398) (Retired),NZ,,Bay , Gelding,PPG,3670850,5,3,4,55,Monolith,Kilmaghenny,Lord Ballina
3530,AMBITIOUS DRAGON (K399) (Retired),NZ,,Bay , Gelding,PPG,58722850,13,5,2,30,Pins,Golden Gamble,Oregon
3531,DASHING DUO (K400) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Pure Theatre,Choir Of Angels,L'Irresponsable
3532,WHITE DRAGON (K401) (Retired),NZ,,Bay , Gelding,PPG,75000,0,0,1,16,Storm Creek,Isla Bella,Volksraad
3533,FAIRY'S KISS (K402) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,5,Stravinsky,Lidahya,Dahar
3534,GORGEOUS RULER (K403) (Retired),NZ,,Bay , Gelding,PPG,998075,0,6,2,35,Viking Ruler,Pastel,Grosvenor
3535,SIGNO VINCE (K404) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,0,Youthful Legs,Joias,Housebuster
3536,SUPER BOY (K405) (Retired),AUS,,Bay , Gelding,PP,2040250,1,4,1,23,Desert Sun,Amelia Island,Tate Gallery
3537,LOMBARDI (K406) (Retired),AUS,,Bay , Gelding,PP,4039250,4,5,8,51,Flying Spur,Our Sousy,Silver Hawk
3538,LUCKY EMPEROR (K407) (Retired),AUS,,Bay , Gelding,PP,200000,0,0,2,21,Fusaichi Pegasus,Galapagos Girl,Dehere
3539,MUSSORGSKY (K408) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Danetop,Marrara Miss,Inflate
3540,WIN PET (K409) (Deregistered),AUS,,Bay , Gelding,PPG,175000,0,1,0,9,Regal Shot,Ima Mica,Sovereign Slipper
3541,REGENCY WINNER (K410) (Retired),IRE,,Bay , Gelding,PP,3008150,3,4,0,44,One Cool Cat,Zinnia,Zilzal
3542,KHARU (K411) (Retired),GB,,Bay , Gelding,PPG,2056725,4,2,3,43,Marju,High Barn,Shirley Heights
3543,GRAND PROFIT (K412) (Retired),IRE,,Bay , Colt,PP,582250,1,0,1,7,Danetime,Tiller Girl,Mujtahid
3544,KIP DEVILLE (K601),USA,,Grey ,,VIS,0,0,0,0,1,Kipling,Klondike Kaytie,Encino
3545,SUPER HORNET (K602),JPN,,Bay , Horse,VIS,530000,0,0,0,1,Rodrigo de Triano,You Sun Polish,El Senor
3546,PRESSING (K603),IRE,,Bay ,,VIS,0,0,0,0,2,Soviet Star,Rafif,Riverman
3547,AWESOME GEM (K604),USA,,Chestnut , Gelding,VIS,0,0,0,0,1,Awesome Again,Piano,Pentelicus
3548,LAA RAYB (K605),USA,,Bay , Gelding,VIS,0,0,0,0,1,Storm Cat,Society Lady,Mr Prospector
3549,MAJOR CADEAUX (K606),GB,,Chestnut , Horse,VIS,0,0,0,0,1,Cadeaux Genereux,Maine Lobster,Woodman
3550,NATAGORA (K607),FR,,Grey , Filly,VIS,0,0,0,0,1,Divine Light,Reinamixa,Linamix
3551,EAGLE MOUNTAIN (K608),GB,,Bay , Horse,VIS,12060000,1,0,0,3,Rock Of Gibraltar,Masskana,Darshaan
3552,LOUP BRETON (K609),IRE,,Bay , Horse,VIS,400000,0,0,0,1,Anabaa,Louve,Irish River
3553,OUT OF CONTROL (K610),BRZ,,Bay , Horse,VIS,0,0,0,0,1,Vettori,Heavenly Dancer,Fitzcarraldo
3554,ARTISTE ROYAL (K611),IRE,,Bay , Rig,VIS,0,0,0,0,1,Danehill,Agathe,Manila
3555,SI FOO (K612),USA,,Chestnut , Gelding,VIS,0,0,0,0,1,Fusaichi Pegasus,Ascension,Night Shift
3556,ESTEJO (K613),GER,,Bay , Horse,VIS,0,0,0,0,1,Johan Cruyff,Este,The Nobel Player
3557,TRINCOT (K614),FR,,Bay , Colt,VIS,0,0,0,0,1,Peintre Celebre,Royal Lights,Royal Academy
3558,LUSH LASHES (K615),GB,,Bay , Filly,VIS,0,0,0,0,1,Galileo,Dance For Fun,Anabaa
3559,DOURO VALLEY (K616),AUS,,Bay , Gelding,VIS,0,0,0,0,1,Encosta de Lago,Opaque,Lord Seymour
3560,MORES WELLS (K617),GB,,Bay , Horse,VIS,0,0,0,0,1,Sadler's Wells,Endorsement,Warning
3561,MUHANNAK (K618),IRE,,Bay , Gelding,VIS,0,0,0,0,1,Chester House,Opera,Forzando
3562,POSEIDON ADVENTURE (K619),IRE,,Bay , Horse,VIS,0,0,0,0,1,Sadler's Wells,Fanny Cerrito,Gulch
3563,PURPLE MOON (K620),IRE,,Chestnut , Gelding,VIS,3080000,0,1,0,1,Galileo,Vanishing Prairie,Alysheba
3564,MOURILYAN (K621),IRE,,Bay , Colt,VIS,0,0,0,0,1,Desert Prince,Mouramara,Kahyasi
3565,BUCCELLATI (K622),GB,,Chestnut , Horse,VIS,280000,0,0,0,2,Soviet Star,Susi Wong,Selkirk
3566,THE BOGBERRY (K623),USA,,Chestnut , Colt,VIS,800000,0,0,0,1,Hawk Wing,Lahinch,Danehill Dancer
3567,JAGUAR MAIL (K624),JPN,,Bay , Horse,VIS,6300000,0,1,1,4,Jungle Pocket,Haya Beni Komachi,Sunday Silence
