,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
6072,WIN WIN SUPER GOAL (T243) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Domesday,Mistry,Magic Albert
6073,MY HAY (T244) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,1,Freeze,Alleged Encounter,Encounter
6074,LUCKY YEAR (T245) (Retired),AUS,,Bay , Gelding,PPG,10587650,8,2,3,26,Holy Roman Emperor,Natural Lil,Naturalism
6075,THORS BOLT (T246) (Retired),AUS,,Chestnut , Gelding,PPG,788500,1,1,1,9,Host,Helogen,Helissio
6076,BAYONET (T247) (Retired),AUS,,Grey , Gelding,PPG,866400,2,0,0,2,Murtajill,Sharp End First,Galileo
6077,HAPPY SURVEYS (T248) (Retired),AUS,,Brown , Gelding,PPG,4258475,4,5,3,39,Myboycharlie,Montelimar,Fusaichi Pegasus
6078,GREEN TEA ICE (T249) (Retired),AUS,,Bay ,,PPG,0,0,0,0,0,O'Lonhro,Noveliste,Runyon
6079,SPEEDY BRAVE (T250) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Oratorio,Grand Alignment,Timber Country
6080,THEWIZARDOFOZ (T251) (Retired),AUS,,Bay , Gelding,PPG,9555850,6,1,3,23,Redoute's Choice,Princess Coup,Encosta de Lago
6081,SOLAR KID (T252) (Retired),USA,,Bay , Rig,PPG,0,0,0,0,7,Spring At Last,Classiest Gem,Dehere
6082,JIMSON THE FAMOUS (T253) (Retired),USA,,Bay , Gelding,PPG,2158150,2,6,3,55,Yes It's True,Aucilla,Relaunch
6083,HARBOUR ALERT (T254),AUS,8,Grey , Gelding,PP,5372413,2,11,5,52,Alert,Miss Love,Fastnet Rock
6084,STAR FAY FAY (T255) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,1,Duke Of Marmalade,Madam Spank,Bellotto
6085,THE SHOW (T256),NZ,9,Bay , Gelding,PP,5762460,7,4,10,75,High Chaparral,The Quarewan,Supremo
6086,ROYAL SPIRIT (T257) (Deregistered),AUS,,Bay , Gelding,PP,0,0,0,0,17,Oratorio,Kirra Beach,Scenic
6087,YOURTHEWONFORME (T258) (Retired),NZ,,Bay , Gelding,PP,2474300,3,5,2,45,Sufficient,Encantada,Black Tuxedo
